weight_message_size,weight_distance,distance,weight_message_size_normalized,utility,self-configuration
0,0.0,13.295549717917709,0.0,0.95,0.0
0,0.0,12.026204976109568,0.0,0.95,0.0
0,0.0,10.318496062319618,0.0,0.95,0.0
0,0.0,10.155537529045716,0.0,0.95,0.0
0,0.0,10.022609937734956,0.0,0.95,0.0
0,0.0,10.04287887199797,0.0,0.95,0.0
0,0.0,9.972354506586015,0.0,0.95,0.0
0,0.0,10.030815283881878,0.0,0.95,0.0
0,0.0,9.96359003555824,0.0,0.95,0.0
0,0.0,10.034452441348364,0.0,0.95,0.0
0,0.0,9.962390395310479,0.0,0.95,0.0
0,0.0,10.039779009024514,0.0,0.95,0.0
0,0.0,9.963171834641159,0.0,0.95,0.0
0,0.0,10.044669830984589,0.0,0.95,0.0
0,0.0,9.96487216301756,0.0,0.95,0.0
0,0.0,10.04898110506258,0.0,0.95,0.0
0,0.0,9.967133478389627,0.0,0.95,0.0
0,0.0,10.052865478753773,0.0,0.95,0.0
0,0.0,9.969754400504598,0.0,0.95,0.0
0,0.0,10.056468923833222,0.0,0.95,0.0
0,0.0,9.972597624102718,0.0,0.95,0.0
0,0.0,10.059899539284629,0.0,0.95,0.0
0,0.0,9.975573122328456,0.0,0.95,0.0
0,0.0,10.063222556431299,0.0,0.95,0.0
0,0.0,9.978633139940484,0.0,0.95,0.0
0,0.0,10.066486255035414,0.0,0.95,0.0
0,0.0,9.981530031560709,0.0,0.95,0.0
0,0.0,10.068545606029119,0.0,0.95,0.0
0,0.0,9.98229000129831,0.0,0.95,0.0
0,0.0,10.068871653952755,0.0,0.95,0.0
0,0.0,9.982392305306348,0.0,0.95,0.0
0,0.0,10.068930494253777,0.0,0.95,0.0
0,0.0,9.982402567821993,0.0,0.95,0.0
0,0.0,10.06894371316011,0.0,0.95,0.0
0,0.0,9.98239896629778,0.0,0.95,0.0
0,0.0,10.06894812250016,0.0,0.95,0.0
0,0.0,9.982395746243355,0.0,0.95,0.0
0,0.0,10.0689505529661,0.0,0.95,0.0
0,0.0,9.982393944779517,0.0,0.95,0.0
0,0.0,10.068952375464676,0.0,0.95,0.0
0,0.0,11.869922721032168,0.0,0.95,0.0
0,0.0,10.812354163854408,0.0,0.95,0.0
