weight_message_size,weight_distance,distance,weight_message_size_normalized,utility,self-configuration
0,0.0,17.254785290732663,0.0,0.95,0.0
0,0.0,19.36385880377687,0.0,0.95,0.0
0,0.0,16.50849497513103,0.0,0.95,0.0
0,0.0,12.321242375428042,0.0,0.95,0.0
0,0.0,10.932508099623377,0.0,0.95,0.0
0,0.0,10.361636048397571,0.0,0.95,0.0
0,0.0,10.180532287691477,0.0,0.95,0.0
0,0.0,10.116943733322358,0.0,0.95,0.0
0,0.0,9.987918994546988,0.0,0.95,0.0
0,0.0,10.125142112388573,0.0,0.95,0.0
0,0.0,9.962687166837497,0.0,0.95,0.0
0,0.0,10.118389870326638,0.0,0.95,0.0
0,0.0,9.958067161733112,0.0,0.95,0.0
0,0.0,10.113642978854472,0.0,0.95,0.0
0,0.0,9.95324332066454,0.0,0.95,0.0
0,0.0,10.108810507033326,0.0,0.95,0.0
0,0.0,9.948945931660461,0.0,0.95,0.0
0,0.0,10.106224963427195,0.0,0.95,0.0
0,0.0,9.948196532978471,0.0,0.95,0.0
0,0.0,10.106190963533663,0.0,0.95,0.0
0,0.0,9.948213995735244,0.0,0.95,0.0
0,0.0,10.106195074850007,0.0,0.95,0.0
0,0.0,9.948212897605686,0.0,0.95,0.0
0,0.0,10.106193595250716,0.0,0.95,0.0
0,0.0,9.94821261009929,0.0,0.95,0.0
0,0.0,10.106194499837216,0.0,0.95,0.0
0,0.0,9.948212990164848,0.0,0.95,0.0
0,0.0,10.106193544758753,0.0,0.95,0.0
0,0.0,9.948212917235196,0.0,0.95,0.0
0,0.0,10.106194711605724,0.0,0.95,0.0
0,0.0,9.948213619165983,0.0,0.95,0.0
0,0.0,10.10619393534131,0.0,0.95,0.0
0,0.0,9.948213605840976,0.0,0.95,0.0
0,0.0,10.106195495578959,0.0,0.95,0.0
0,0.0,9.948213985906705,0.0,0.95,0.0
0,0.0,10.106194111347122,0.0,0.95,0.0
0,0.0,9.94821349574454,0.0,0.95,0.0
0,0.0,10.10619519474767,0.0,0.95,0.0
0,0.0,9.948213506261482,0.0,0.95,0.0
0,0.0,10.106194537692602,0.0,0.95,0.0
0,0.0,15.73254426682385,0.0,0.95,0.0
0,0.0,16.521976546972198,0.0,0.95,0.0
0,0.0,12.897966072375056,0.0,0.95,0.0
0,0.0,9.320332803626613,0.0,0.95,0.0
0,0.0,9.661687488541062,0.0,0.95,0.0
0,0.0,10.101206314633643,0.0,0.95,0.0
0,0.0,9.98821588054858,0.0,0.95,0.0
0,0.0,10.128639362097687,0.0,0.95,0.0
0,0.0,9.966720357265274,0.0,0.95,0.0
0,0.0,10.122433383873584,0.0,0.95,0.0
0,0.0,9.96209671546697,0.0,0.95,0.0
0,0.0,10.11766950426707,0.0,0.95,0.0
0,0.0,9.95726858205336,0.0,0.95,0.0
0,0.0,10.112835601123834,0.0,0.95,0.0
0,0.0,9.952435000775239,0.0,0.95,0.0
0,0.0,10.10800359340837,0.0,0.95,0.0
0,0.0,9.948462527800245,0.0,0.95,0.0
0,0.0,10.106179605617115,0.0,0.95,0.0
0,0.0,9.948204067924905,0.0,0.95,0.0
0,0.0,10.106193085973075,0.0,0.95,0.0
0,0.0,9.948213006406945,0.0,0.95,0.0
0,0.0,10.10619358443762,0.0,0.95,0.0
0,0.0,9.948212539276255,0.0,0.95,0.0
0,0.0,10.106193164990373,0.0,0.95,0.0
0,0.0,9.948212608587141,0.0,0.95,0.0
0,0.0,10.106194474077938,0.0,0.95,0.0
0,0.0,9.94821345275841,0.0,0.95,0.0
0,0.0,10.106193840054061,0.0,0.95,0.0
0,0.0,9.948213045232194,0.0,0.95,0.0
0,0.0,10.10619381399755,0.0,0.95,0.0
0,0.0,9.948212899966393,0.0,0.95,0.0
0,0.0,10.106194860824644,0.0,0.95,0.0
0,0.0,9.948213422272602,0.0,0.95,0.0
0,0.0,10.106194047986776,0.0,0.95,0.0
0,0.0,9.948213491583545,0.0,0.95,0.0
0,0.0,10.106195357074341,0.0,0.95,0.0
0,0.0,9.948214335754813,0.0,0.95,0.0
0,0.0,10.106194293897033,0.0,0.95,0.0
0,0.0,9.948213510996197,0.0,0.95,0.0
0,0.0,10.106195471854448,0.0,0.95,0.0
0,0.0,16.80167756863579,0.0,0.945189371371848,0.0
0,0.0,18.116738741419603,0.0,0.945189371371848,0.0
0,0.0,14.58566701587273,0.0,0.945189371371848,0.0
0,0.0,10.483868108891244,0.0,0.945189371371848,0.0
0,0.0,10.134105821096142,0.0,0.945189371371848,0.0
0,0.0,10.126935272001901,0.0,0.945189371371848,0.0
0,0.0,9.97943191679731,0.0,0.945189371371848,0.0
0,0.0,10.128530202770833,0.0,0.945189371371848,0.0
0,0.0,9.967061717713932,0.0,0.945189371371848,0.0
0,0.0,10.12264899447112,0.0,0.945189371371848,0.0
0,0.0,9.962281824435706,0.0,0.945189371371848,0.0
0,0.0,10.117853985454957,0.0,0.945189371371848,0.0
0,0.0,9.95745315071619,0.0,0.945189371371848,0.0
0,0.0,10.11302006652673,0.0,0.945189371371848,0.0
0,0.0,9.952620090094825,0.0,0.945189371371848,0.0
0,0.0,10.108188484100566,0.0,0.945189371371848,0.0
0,0.0,9.948573095528758,0.0,0.945189371371848,0.0
0,0.0,10.106189838914958,0.0,0.945189371371848,0.0
0,0.0,9.948202849238413,0.0,0.945189371371848,0.0
0,0.0,10.106192240863749,0.0,0.945189371371848,0.0
0,0.0,9.948212570637622,0.0,0.945189371371848,0.0
0,0.0,10.10619466665446,0.0,0.945189371371848,0.0
0,0.0,9.948213875861143,0.0,0.945189371371848,0.0
0,0.0,10.106194064529348,0.0,0.945189371371848,0.0
0,0.0,9.948213083001008,0.0,0.945189371371848,0.0
0,0.0,10.106195179017845,0.0,0.945189371371848,0.0
0,0.0,9.948214388224528,0.0,0.945189371371848,0.0
0,0.0,10.10619457689279,0.0,0.945189371371848,0.0
0,0.0,9.948212522480958,0.0,0.945189371371848,0.0
0,0.0,10.106193092618923,0.0,0.945189371371848,0.0
